crowd,registration,draw,seed,sharpe_0bps,sharpe_10bps,exposure,turnover_per_year,heldshare_ratio_median,sub5_held_share
"published crowd (120 draws, the published run)",published 2026-07-14 as a 10 bps summary; every per-draw value here is the 2026-09-24 replay of the same draws,1,20260714,0.5903755662758476,0.022572824922775132,0.2493208008738069,251.94983659228546,0.6423854501393174,0.03634233175411203
"published crowd (120 draws, the published run)",published 2026-07-14 as a 10 bps summary; every per-draw value here is the 2026-09-24 replay of the same draws,2,20260714,0.635578895141731,0.06817290447824693,0.24938448427848198,251.94746235469037,0.6439258111838301,0.03627098027557353
"published crowd (120 draws, the published run)",published 2026-07-14 as a 10 bps summary; every per-draw value here is the 2026-09-24 replay of the same draws,3,20260714,0.6434825470768327,0.07648060443748492,0.24937918864355166,251.94294724441087,0.642046197822874,0.036290535548117765
"published crowd (120 draws, the published run)",published 2026-07-14 as a 10 bps summary; every per-draw value here is the 2026-09-24 replay of the same draws,4,20260714,0.6026308545704934,0.035921753957431364,0.24936907262297958,251.95015865682458,0.6433305577981754,0.036227754809780056
"published crowd (120 draws, the published run)",published 2026-07-14 as a 10 bps summary; every per-draw value here is the 2026-09-24 replay of the same draws,5,20260714,0.6318443183250531,0.06408088804502736,0.24938950834239018,251.94983420016658,0.6415125727089604,0.03628141124867489
"published crowd (120 draws, the published run)",published 2026-07-14 as a 10 bps summary; every per-draw value here is the 2026-09-24 replay of the same draws,6,20260714,0.6161357271295577,0.04900026263060429,0.24943160185081084,251.94476160321653,0.6456452111137477,0.03629406958152985
"published crowd (120 draws, the published run)",published 2026-07-14 as a 10 bps summary; every per-draw value here is the 2026-09-24 replay of the same draws,7,20260714,0.600086823641373,0.03275716357668477,0.2493842127074599,251.9468822289758,0.6401518121054801,0.03624815147957861
"published crowd (120 draws, the published run)",published 2026-07-14 as a 10 bps summary; every per-draw value here is the 2026-09-24 replay of the same draws,8,20260714,0.6240744962755528,0.057711067548288454,0.249368733159202,251.9465791285721,0.6401236898070056,0.036231071228266964
"published crowd (120 draws, the published run)",published 2026-07-14 as a 10 bps summary; every per-draw value here is the 2026-09-24 replay of the same draws,9,20260714,0.6157878808809257,0.04906966930593185,0.24943228077836602,251.9509020322657,0.6413847578580378,0.03634895299729226
"published crowd (120 draws, the published run)",published 2026-07-14 as a 10 bps summary; every per-draw value here is the 2026-09-24 replay of the same draws,10,20260714,0.609100154820482,0.04212309370062117,0.24944443358160356,251.94990711280772,0.6429403382932004,0.03622960211970567
"published crowd (120 draws, the published run)",published 2026-07-14 as a 10 bps summary; every per-draw value here is the 2026-09-24 replay of the same draws,11,20260714,0.6036192087195897,0.03597762889196306,0.24935882081689648,251.95188443520203,0.6435468454052402,0.03618649794681709
