row,run,registration,cell,chart,fill,cost_bps_round_trip,role,universe,cagr,sharpe,maxdd,vol,total_mult,exposure,turnover_per_year
1,published run 2026-07-14,benchmark named in the pre-registration,SPY,none (held throughout),real close-to-close,0,buy-and-hold benchmark,SPY alone,0.08846690813490632,0.5466484916789297,-0.5647367075664624,,,,
2,published run 2026-07-14,pre-registered cell (cleaning rule added after the first run),BH_composite,"every tradeable name, always held",real close-to-close,0,buy-and-hold benchmark,"pooled yearly lists, 2,606 names",0.09694784509585053,0.5261758047197556,-0.604223663145014,0.2236072453510208,7.967353888815947,0.5976796836088966,1.0014854220239224
3,published run 2026-07-14,pre-registered cell (cleaning rule added after the first run),RAW_trend_HONEST_0bps_rt,plain candles,real close (the till),0,the rule,"pooled yearly lists, 2,606 names",0.07239507691049041,0.4343404401665019,-0.6639838338575856,0.21375473303879422,4.7952920212157295,0.2970770403538245,223.28462419247984
4,published run 2026-07-14,pre-registered cell (cleaning rule added after the first run),HA_trend_HONEST_0bps_rt,Heikin-Ashi,real close (the till),0,the rule,"pooled yearly lists, 2,606 names",0.06829065552369595,0.42247538740956736,-0.6166609651105015,0.2075198476504678,4.4001037881148735,0.3135379783927232,144.623571902301
5,published run 2026-07-14,pre-registered cell (cleaning rule added after the first run),HA_trend_FANTASY_0bps_rt,Heikin-Ashi,Heikin-Ashi price (the tag); no order fills here,0,illusion measure only,"pooled yearly lists, 2,606 names",1.122527719514225,4.622992654422541,-0.2787727246570868,0.16600939589192593,21421711.758388028,0.3135379783927232,144.623571902301
6,published run 2026-07-14,pre-registered cell (cleaning rule added after the first run),RAW_trend_HONEST_10bps_rt,plain candles,real close (the till),10,the rule,"pooled yearly lists, 2,606 names",-0.04089060627385399,-0.08795443979192721,-0.7228273014488065,0.21374688196493394,0.3920381992969874,0.2970770403538245,223.28462419247984
7,published run 2026-07-14,pre-registered cell (cleaning rule added after the first run),HA_trend_HONEST_10bps_rt,Heikin-Ashi,real close (the till),10,the rule,"pooled yearly lists, 2,606 names",-0.006236040685048794,0.07401028267593623,-0.6682138082660709,0.20754199990577163,0.8690945043653886,0.3135379783927232,144.623571902301
8,published run 2026-07-14,pre-registered cell (cleaning rule added after the first run),HA_trend_FANTASY_10bps_rt,Heikin-Ashi,Heikin-Ashi price (the tag); no order fills here,10,illusion measure only,"pooled yearly lists, 2,606 names",0.9748357170342237,4.185717452910273,-0.28615514137591336,0.16607629149430986,4249497.167280585,0.3135379783927232,144.623571902301
9,point-in-time sensitivity 2026-09-24,"ADDED AFTER the run; unregistered sensitivity, never a verdict layer",BH_composite,"every tradeable name, always held",real close-to-close,0,buy-and-hold benchmark,each name from its first yearly selection only; kept after leaving the top 800,0.06876784316714035,0.4094585813292633,-0.6255174895646818,0.22395993091232574,4.444397709178939,0.4757788521127411,0.7421706699060171
10,point-in-time sensitivity 2026-09-24,"ADDED AFTER the run; unregistered sensitivity, never a verdict layer",RAW_trend_HONEST_0bps_rt,plain candles,real close (the till),0,the rule,each name from its first yearly selection only; kept after leaving the top 800,0.0415846223444738,0.29767964597584845,-0.6801534710888582,0.21439765347061482,2.4938118888184437,0.2368260897194617,222.7321402001887
11,point-in-time sensitivity 2026-09-24,"ADDED AFTER the run; unregistered sensitivity, never a verdict layer",HA_trend_HONEST_0bps_rt,Heikin-Ashi,real close (the till),0,the rule,each name from its first yearly selection only; kept after leaving the top 800,0.04264222206107582,0.3053073695881438,-0.6166453907615219,0.20762399917933255,2.551226672125364,0.24892729446282982,144.9733731235818
12,point-in-time sensitivity 2026-09-24,"ADDED AFTER the run; unregistered sensitivity, never a verdict layer",HA_trend_FANTASY_0bps_rt,Heikin-Ashi,Heikin-Ashi price (the tag); no order fills here,0,illusion measure only,each name from its first yearly selection only; kept after leaving the top 800,1.0240908001532265,4.331528653687142,-0.27486144910180166,0.16619032370429468,7384162.156679186,0.24892729446282982,144.9733731235818
13,point-in-time sensitivity 2026-09-24,"ADDED AFTER the run; unregistered sensitivity, never a verdict layer",RAW_trend_HONEST_10bps_rt,plain candles,real close (the till),10,the rule,each name from its first yearly selection only; kept after leaving the top 800,-0.06820071779680414,-0.2217665563815518,-0.8290007677060398,0.21438873963984326,0.20509006337425476,0.2368260897194617,222.7321402001887
14,point-in-time sensitivity 2026-09-24,"ADDED AFTER the run; unregistered sensitivity, never a verdict layer",HA_trend_HONEST_10bps_rt,Heikin-Ashi,real close (the till),10,the rule,each name from its first yearly selection only; kept after leaving the top 800,-0.030269471795459135,-0.04381495426969836,-0.6744000884860621,0.20763571845765172,0.5018830434996369,0.24892729446282982,144.9733731235818
15,point-in-time sensitivity 2026-09-24,"ADDED AFTER the run; unregistered sensitivity, never a verdict layer",HA_trend_FANTASY_10bps_rt,Heikin-Ashi,Heikin-Ashi price (the tag); no order fills here,10,illusion measure only,each name from its first yearly selection only; kept after leaving the top 800,0.8828991913853659,3.894164119601329,-0.2826949638440258,0.16624144300193971,1458742.1970972058,0.24892729446282982,144.9733731235818
